"Australian Industry EBITDA movement in 2019-20"
,"2019-20 ($m)"
"Agriculture, forestry and fishing","-1,280"
"Mining","19,393"
"Manufacturing","1,283"
"Electricity, gas, water and waste services","-769"
"Construction","2,965"
"Wholesale trade","4,853"
"Retail trade","6,285"
"Accommodation and food services","-271"
"Transport, postal and warehousing","354"
"Information media and telecommunications","2,637"
"Rental, hiring and real estate services","3,107"
"Professional, scientific and technical services","2,114"
"Administrative and support services","1,839"
"Public administration and safety (private)","172"
"Education and training (private)","729"
"Health care and social assistance (private)","6,440"
"Arts and recreation services","-649"
"Other services","2,522"

"Source: Australian Bureau of Statistics, Australian Industry 2019-20 financial year"
